City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hokitika,NZ,61.77,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
1,Karratha,AU,90.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
6,Prado,BR,72.09,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
7,Kattivakkam,IN,89.6,scattered clouds,13.2167,80.3167,Raj's villa
10,Cabedelo,BR,75.2,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
11,Rikitea,PF,79.21,clear sky,-23.1203,-134.9692,Pension Maro'i
18,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Atuona,PF,80.69,light rain,-9.8,-139.0333,Villa Enata
27,Sao Joao Da Barra,BR,75.07,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
28,Carnarvon,AU,82.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
29,Souillac,MU,82.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
31,Mataura,NZ,63.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
32,Esperance,AU,82.4,scattered clouds,-33.8667,121.9,Hospitality Esperance
34,Saint-Philippe,RE,84.99,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Pastos Bons,BR,69.42,broken clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
36,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
38,Carutapera,BR,72.82,overcast clouds,-1.195,-46.02,Lidera
39,Bluff,NZ,63.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
40,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
41,Kahului,US,73.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
42,Butaritari,KI,80.19,light rain,3.0707,172.7902,Isles Sunset Lodge
45,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
46,Nkwerre,NG,75.29,broken clouds,5.7556,7.1063,"Trinity Home, ISHI Owerre, Owerre- Nkworji"
47,Linxia,CN,63.57,few clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
48,Manggar,ID,84.2,moderate rain,-2.8833,108.2667,Guest Hotel
55,Victoria,HK,80.6,few clouds,22.2855,114.1577,Mini Hotel Central
57,Avarua,CK,78.8,scattered clouds,-21.2078,-159.775,Paradise Inn
58,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
60,Nizwa,OM,90.59,scattered clouds,22.9333,57.5333,Orient Apartments
62,Kununurra,AU,95.0,scattered clouds,-15.7667,128.7333,Hotel Kununurra
