City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hokitika,NZ,-42.7167,170.9667,61.77,92,99,14.79,overcast clouds
1,Karratha,AU,-20.7377,116.8463,90.79,45,4,11.83,clear sky
2,Bethel,US,41.3712,-73.414,53.6,54,1,13.8,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,48.2,71,75,12.66,broken clouds
4,Qaqortoq,GL,60.7167,-46.0333,5.0,36,75,8.05,broken clouds
5,Lata,PT,40.1629,-8.3327,51.01,81,9,5.01,clear sky
6,Prado,BR,-17.3411,-39.2208,72.09,90,1,3.96,clear sky
7,Kattivakkam,IN,13.2167,80.3167,89.6,55,40,4.61,scattered clouds
8,Campbell River,CA,50.0163,-125.2446,39.99,84,100,3.13,overcast clouds
9,Yatou,CN,37.15,122.3833,47.61,96,100,5.19,overcast clouds
10,Cabedelo,BR,-6.9811,-34.8339,75.2,100,40,7.78,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,79.21,75,5,22.37,clear sky
12,Trogir,HR,43.5125,16.2517,51.01,87,0,4.61,clear sky
13,Ushuaia,AR,-54.8,-68.3,46.4,76,75,4.61,broken clouds
14,Srednekolymsk,RU,67.45,153.6833,5.86,80,22,5.79,few clouds
15,Prince Rupert,CA,54.3161,-130.3201,44.6,93,90,5.75,light rain
16,Norman Wells,CA,65.282,-126.8329,15.8,86,90,18.41,snow
17,Guerrero Negro,MX,27.9769,-114.0611,55.85,76,0,14.7,clear sky
18,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,0,23.02,clear sky
19,Upernavik,GL,72.7868,-56.1549,-33.68,72,1,4.09,clear sky
20,Atuona,PF,-9.8,-139.0333,80.69,78,54,18.95,light rain
21,Tigil,RU,57.8,158.6667,17.69,87,90,12.44,overcast clouds
22,Iqaluit,CA,63.7506,-68.5145,-22.0,69,1,13.8,clear sky
23,Ketchikan,US,55.3422,-131.6461,42.8,100,90,4.61,mist
24,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,58,20,5.75,few clouds
25,Vestmannaeyjar,IS,63.4427,-20.2734,23.67,50,16,7.7,few clouds
26,Cape Town,ZA,-33.9258,18.4232,59.0,94,0,3.44,clear sky
27,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.07,85,11,7.18,few clouds
28,Carnarvon,AU,-24.8667,113.6333,82.4,61,53,17.27,broken clouds
29,Souillac,MU,-20.5167,57.5167,82.4,78,20,1.74,few clouds
30,Praia Da Vitoria,PT,38.7333,-27.0667,52.0,82,0,7.38,clear sky
31,Mataura,NZ,-46.1927,168.8643,63.0,76,100,4.0,overcast clouds
32,Esperance,AU,-33.8667,121.9,82.4,30,30,8.05,scattered clouds
33,Yenangyaung,MM,20.4667,94.8833,99.37,16,13,2.82,few clouds
34,Saint-Philippe,RE,-21.3585,55.7679,84.99,65,0,5.75,clear sky
35,Pastos Bons,BR,-6.6017,-44.0767,69.42,95,78,2.93,broken clouds
36,Vaini,TO,-21.2,-175.2,82.4,83,75,9.22,light rain
37,Narsaq,GL,60.9167,-46.05,5.0,36,75,8.05,broken clouds
38,Carutapera,BR,-1.195,-46.02,72.82,96,100,3.06,overcast clouds
39,Bluff,NZ,-46.6,168.3333,63.0,76,100,4.0,overcast clouds
40,Georgetown,MY,5.4112,100.3354,89.6,66,20,4.61,few clouds
41,Kahului,US,20.8947,-156.47,73.4,88,20,14.97,few clouds
42,Butaritari,KI,3.0707,172.7902,80.19,80,83,12.71,light rain
43,Jamestown,US,42.097,-79.2353,43.0,100,90,2.71,mist
44,Shama,CN,33.6102,104.2852,57.36,48,96,2.82,overcast clouds
45,Kapaa,US,22.0752,-159.319,73.4,88,75,6.91,light rain
46,Nkwerre,NG,5.7556,7.1063,75.29,93,62,2.28,broken clouds
47,Linxia,CN,35.6003,103.2064,63.57,18,20,5.01,few clouds
48,Manggar,ID,-2.8833,108.2667,84.2,69,100,6.76,moderate rain
49,Palmer,US,42.1584,-72.3287,50.0,57,90,18.41,overcast clouds
50,Krasnokamensk,RU,50.0979,118.0369,44.08,41,100,17.2,overcast clouds
51,Longyearbyen,SJ,78.2186,15.6401,17.6,73,75,34.52,snow
52,Portland,US,45.5234,-122.6762,48.2,66,75,5.75,broken clouds
53,Khatanga,RU,71.9667,102.5,8.74,88,96,6.46,overcast clouds
54,Albany,US,42.6001,-73.9662,46.99,62,98,1.01,overcast clouds
55,Victoria,HK,22.2855,114.1577,80.6,65,20,6.91,few clouds
56,San Martin,AR,-33.081,-68.4681,50.0,87,0,3.44,clear sky
57,Avarua,CK,-21.2078,-159.775,78.8,73,49,4.61,scattered clouds
58,Bredasdorp,ZA,-34.5322,20.0403,62.6,72,93,6.91,overcast clouds
59,Saskylakh,RU,71.9167,114.0833,5.95,94,93,3.6,overcast clouds
60,Nizwa,OM,22.9333,57.5333,90.59,16,41,3.76,scattered clouds
61,Pevek,RU,69.7008,170.3133,-19.97,96,55,3.98,broken clouds
62,Kununurra,AU,-15.7667,128.7333,95.0,49,40,9.22,scattered clouds
63,Marfino,RU,55.7028,37.3822,36.0,87,0,6.71,light rain
64,Bambous Virieux,MU,-20.3428,57.7575,84.99,78,20,2.17,few clouds
65,Ribeira Grande,PT,38.5167,-28.7,57.36,67,95,9.73,overcast clouds
66,Dedougou,BF,12.4667,-3.4667,75.81,11,2,6.8,clear sky
67,Brae,GB,60.3964,-1.353,32.0,86,20,5.14,haze
68,Amot,NO,59.5714,7.9877,37.99,92,100,2.33,overcast clouds
69,Ilulissat,GL,69.2167,-51.1,-18.4,52,20,3.44,few clouds
70,Hermanus,ZA,-34.4187,19.2345,59.0,91,98,1.01,overcast clouds
71,Kondinskoye,RU,59.6481,67.41,30.69,95,55,7.83,broken clouds
72,Ca Mau,VN,9.1769,105.15,92.62,45,67,14.34,broken clouds
73,Owando,CG,-0.4819,15.8999,70.32,92,100,1.54,overcast clouds
