City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Houma,US,2021-03-25 12:41:28,29.5958,-90.7195,73.99,94,90,12.66
1,Kampot,KH,2021-03-25 12:41:29,10.6167,104.1833,84.2,78,0,2.3
2,Tasiilaq,GL,2021-03-25 12:41:29,65.6145,-37.6368,3.2,72,40,2.3
3,Saint-Leu,RE,2021-03-25 12:41:30,-21.15,55.2833,78.8,89,75,8.05
4,Rikitea,PF,2021-03-25 12:41:30,-23.1203,-134.9692,79.63,72,62,17.07
5,Port Alfred,ZA,2021-03-25 12:41:30,-33.5906,26.891,72.55,75,98,21.36
6,Dikson,RU,2021-03-25 12:41:31,73.5069,80.5464,-6.75,99,61,4.36
7,Busselton,AU,2021-03-25 12:41:31,-33.65,115.3333,60.01,75,78,6.91
8,Cururupu,BR,2021-03-25 12:41:32,-1.8283,-44.8683,75.0,96,100,1.48
9,Barrow,US,2021-03-25 12:41:32,71.2906,-156.7887,-0.4,78,90,12.66
10,Farafangana,MG,2021-03-25 12:41:32,-22.8167,47.8333,78.44,80,46,8.88
11,Nalut,LY,2021-03-25 12:41:33,30.3333,10.85,64.18,22,5,9.78
12,Mataura,NZ,2021-03-25 12:41:33,-46.1927,168.8643,50.0,95,75,1.01
13,Nikolskoye,RU,2021-03-25 12:41:34,59.7035,30.7861,48.2,66,75,8.95
14,Kodiak,US,2021-03-25 12:41:34,57.79,-152.4072,37.4,81,1,3.2
15,Baculin,PH,2021-03-25 12:41:35,7.4525,126.5842,78.22,84,22,4.72
16,Topolobampo,MX,2021-03-25 12:41:35,25.6,-109.05,51.01,90,0,1.99
17,Rorvik,NO,2021-03-25 12:41:35,64.8621,11.2373,41.0,87,75,18.41
18,Dasoguz,TM,2021-03-25 12:41:36,41.8363,59.9666,64.4,63,90,23.02
19,Matara,LK,2021-03-25 12:41:36,5.9485,80.5353,75.34,88,100,6.93
20,Ahipara,NZ,2021-03-25 12:41:37,-35.1667,173.1667,58.48,88,100,5.68
21,Aripuana,BR,2021-03-25 12:37:39,-9.1667,-60.6333,74.46,94,99,2.91
22,Mahebourg,MU,2021-03-25 12:41:37,-20.4081,57.7,80.6,83,75,3.44
23,Vestmannaeyjar,IS,2021-03-25 12:41:37,63.4427,-20.2734,32.0,93,90,5.75
24,East London,ZA,2021-03-25 12:40:59,-33.0153,27.9116,68.0,94,40,6.91
25,Vaini,TO,2021-03-25 12:41:38,-21.2,-175.2,73.4,94,40,1.14
26,Hobart,AU,2021-03-25 12:39:56,-42.8794,147.3294,59.0,55,75,17.27
27,Hamilton,US,2021-03-25 12:40:31,39.1834,-84.5333,51.8,100,1,4.0
28,Luderitz,NA,2021-03-25 12:41:38,-26.6481,15.1594,71.87,70,6,16.33
29,Sitka,US,2021-03-25 12:41:39,57.0531,-135.33,35.6,93,90,3.44
30,Hilo,US,2021-03-25 12:41:39,19.7297,-155.09,69.01,77,20,4.61
31,Svetlyy,RU,2021-03-25 12:41:39,54.675,20.1347,53.6,50,0,8.95
32,Bluff,NZ,2021-03-25 12:41:40,-46.6,168.3333,50.0,95,100,1.01
33,Ancud,CL,2021-03-25 12:41:41,-41.8697,-73.8203,46.99,100,0,5.75
34,Weihai,CN,2021-03-25 12:41:42,37.5017,122.1136,48.49,57,100,9.84
35,Saint-Philippe,RE,2021-03-25 12:41:43,-21.3585,55.7679,78.8,89,75,8.05
36,Klaksvik,FO,2021-03-25 12:41:43,62.2266,-6.589,44.6,87,75,19.57
37,Jamestown,US,2021-03-25 12:41:44,42.097,-79.2353,51.01,100,1,6.02
38,Coquimbo,CL,2021-03-25 12:41:44,-29.9533,-71.3436,57.2,88,90,3.44
39,Yulara,AU,2021-03-25 12:41:44,-25.2406,130.9889,80.6,34,0,5.75
40,Lorengau,PG,2021-03-25 12:41:46,-2.0226,147.2712,80.96,81,29,6.42
41,Hermanus,ZA,2021-03-25 12:41:47,-34.4187,19.2345,90.0,41,0,3.0
42,Punta Arenas,CL,2021-03-25 12:39:16,-53.15,-70.9167,48.2,66,0,12.66
43,Castro,BR,2021-03-25 12:41:48,-24.7911,-50.0119,70.0,84,87,6.8
44,Kaitangata,NZ,2021-03-25 12:41:48,-46.2817,169.8464,54.0,91,45,1.01
45,El Alto,PE,2021-03-25 12:41:49,-4.2714,-81.2147,73.35,71,92,8.08
46,Atuona,PF,2021-03-25 12:41:49,-9.8,-139.0333,79.95,73,83,21.12
47,Ushuaia,AR,2021-03-25 12:37:31,-54.8,-68.3,50.0,62,40,24.16
48,Airai,TL,2021-03-25 12:41:50,-8.9266,125.4092,62.55,96,100,1.28
49,Iqaluit,CA,2021-03-25 12:41:50,63.7506,-68.5145,-23.01,62,1,11.5
50,Srebrenik,BA,2021-03-25 12:41:51,44.7078,18.4881,46.4,66,75,9.22
51,Saldanha,ZA,2021-03-25 12:41:52,-33.0117,17.9442,87.8,30,13,14.97
52,Quatre Cocos,MU,2021-03-25 12:41:53,-20.2078,57.7625,84.0,83,75,3.44
53,Chapleau,CA,2021-03-25 12:41:53,47.8405,-83.4034,32.0,100,90,8.05
54,Roald,NO,2021-03-25 12:41:54,62.5833,6.1333,45.0,81,75,17.27
55,Albany,US,2021-03-25 12:41:55,42.6001,-73.9662,53.01,90,94,3.24
56,Carnarvon,AU,2021-03-25 12:41:55,-24.8667,113.6333,77.0,69,100,19.57
57,Longyearbyen,SJ,2021-03-25 12:41:55,78.2186,15.6401,24.8,93,75,8.05
58,Auki,SB,2021-03-25 12:41:56,-8.7676,160.7034,77.83,85,42,4.41
